Bandit,Reward,Algorithm
2.0,5.338218031457974,ThompsonSampling
2.0,2.603126696956315,ThompsonSampling
2.0,3.929917610511552,ThompsonSampling
2.0,2.3446973507741564,ThompsonSampling
2.0,3.0784989998611496,ThompsonSampling
2.0,2.456144627398414,ThompsonSampling
2.0,2.670301599829058,ThompsonSampling
2.0,3.110894421886273,ThompsonSampling
2.0,2.0654843006857497,ThompsonSampling
2.0,4.173105665892175,ThompsonSampling
2.0,4.871354538125554,ThompsonSampling
2.0,3.3044327932273214,ThompsonSampling
2.0,1.3783025991442182,ThompsonSampling
2.0,2.4889526589942133,ThompsonSampling
2.0,1.3392569067048041,ThompsonSampling
2.0,1.9854476807952213,ThompsonSampling
2.0,2.5015356203344563,ThompsonSampling
2.0,3.162921365230202,ThompsonSampling
2.0,4.699907194660002,ThompsonSampling
2.0,2.7762446978508164,ThompsonSampling
2.0,4.203587526784013,ThompsonSampling
2.0,3.769276239205693,ThompsonSampling
2.0,3.828280810654415,ThompsonSampling
2.0,2.5952656831723786,ThompsonSampling
2.0,2.0720956690167203,ThompsonSampling
2.0,2.0205771292228127,ThompsonSampling
2.0,3.6249054588390566,ThompsonSampling
2.0,2.201357328197755,ThompsonSampling
2.0,2.6107527187605144,ThompsonSampling
2.0,3.416527715658806,ThompsonSampling
2.0,3.087756860835465,ThompsonSampling
2.0,4.384669730930794,ThompsonSampling
2.0,2.92608930994655,ThompsonSampling
2.0,2.952798456855392,ThompsonSampling
2.0,3.0511142515943077,ThompsonSampling
2.0,2.442723339044087,ThompsonSampling
2.0,2.9882923091947147,ThompsonSampling
2.0,3.5350297757214877,ThompsonSampling
2.0,7.002403634513271,ThompsonSampling
2.0,1.9089004589940968,ThompsonSampling
2.0,2.980488474239353,ThompsonSampling
2.0,2.0665826146454926,ThompsonSampling
2.0,4.269795981216686,ThompsonSampling
2.0,4.637495984209215,ThompsonSampling
2.0,2.6355964349309806,ThompsonSampling
2.0,3.175132156192568,ThompsonSampling
2.0,2.1868534662323347,ThompsonSampling
2.0,2.565930898964993,ThompsonSampling
2.0,3.384606629578187,ThompsonSampling
2.0,3.9846724156500453,ThompsonSampling
2.0,4.7669437102343455,ThompsonSampling
2.0,1.4057808929615805,ThompsonSampling
2.0,2.0959272150113346,ThompsonSampling
2.0,2.096643793578087,ThompsonSampling
2.0,1.7925081402634564,ThompsonSampling
2.0,3.6888456652963235,ThompsonSampling
2.0,2.339158040935557,ThompsonSampling
2.0,3.109834016118532,ThompsonSampling
2.0,4.442086535456715,ThompsonSampling
2.0,3.3824639255225284,ThompsonSampling
2.0,2.2112155983274744,ThompsonSampling
2.0,3.561987607832288,ThompsonSampling
2.0,0.6798978503990516,ThompsonSampling
2.0,2.6665530366967363,ThompsonSampling
2.0,4.925121838639096,ThompsonSampling
2.0,3.0359515095484846,ThompsonSampling
2.0,2.9655108605757814,ThompsonSampling
2.0,2.2205943821191703,ThompsonSampling
2.0,1.9317274532567523,ThompsonSampling
2.0,4.1578347434784835,ThompsonSampling
2.0,2.724184122995089,ThompsonSampling
2.0,3.414826133632271,ThompsonSampling
2.0,1.4100381550809726,ThompsonSampling
2.0,0.5104676806559962,ThompsonSampling
2.0,3.731578295210448,ThompsonSampling
2.0,2.319154812198198,ThompsonSampling
2.0,2.187467720851007,ThompsonSampling
2.0,2.465154267691924,ThompsonSampling
2.0,3.1109071587571093,ThompsonSampling
2.0,5.203892279804768,ThompsonSampling
2.0,1.8557349191962664,ThompsonSampling
2.0,2.30880672633324,ThompsonSampling
2.0,2.771147134872015,ThompsonSampling
2.0,2.5055835515340394,ThompsonSampling
2.0,1.826838744513533,ThompsonSampling
2.0,2.6040221163763966,ThompsonSampling
2.0,4.435549862954454,ThompsonSampling
2.0,3.120568106441663,ThompsonSampling
2.0,3.7676438515613437,ThompsonSampling
2.0,2.8627037298274476,ThompsonSampling
2.0,2.212219398807007,ThompsonSampling
2.0,4.4518736760160005,ThompsonSampling
2.0,2.642143233220281,ThompsonSampling
2.0,3.5964726697604874,ThompsonSampling
2.0,1.9739547670894273,ThompsonSampling
2.0,0.7022599897688955,ThompsonSampling
2.0,0.30517048058712337,ThompsonSampling
2.0,0.4781214733150425,ThompsonSampling
2.0,1.7332608246945234,ThompsonSampling
2.0,3.0627686861456502,ThompsonSampling
2.0,2.8563966957773372,ThompsonSampling
2.0,3.1346030699027474,ThompsonSampling
